,reaction_id,Reaction name,pathway,genes,gene_reaction_rule,Unnamed: 5,Unnamed: 6,Array_67 70,Array_67 80,Array_68 70,Array_68 80,Array_86 70,Array_86 80,Array_85 70,Array_85 80,average_list_column_70,average_list_column_80
22,carb_degra__methylglyoxal_4.4.1.5_GLYOXI__RXN,Methylglyoxal pathway,Refer to uniport,2426,,,,179724.0,237060.0,136080.0,123508.0,125924.0,218988.0,217344.0,184200.0,164768.0,190939.0
23,carb_degra__methylglyoxal_3.1.2.6_GLYOXII__RXN,Methylglyoxal pathway,Refer to uniport,"2072,2940,2890,1537,1157,2310,2515,0006,3132,1567",or,,,64853.0,86632.0,28440.0,83531.0,116833.0,82784.0,94720.0,133943.0,76211.5,96722.5
24,carb_degra__lactate_1.1.3.15_BS257489,Methylglyoxal pathway,Refer to uniport,"3165,3163,3161",and,,,105842.0,106920.0,92340.0,107251.0,230823.0,257792.0,469224.0,393641.0,224557.25,216401.0
25,carb_acetylcoa_1.2.7.1_PYRUFLAVREDUCT__RXN,,TCA,"11071,1206,1207,1208 or 2756,2757,2758,7412",and,,"2128,2129,2130,",204762.0,178464.0,83260.0,72555.0,174777.0,94432.0,328704.0,366844.0,197875.75,178073.75
26,carb_cac_2.3.3.1_CITRATE__RE__SYNTHASE__RXN,TCA,TCA,2589,,,,334558.0,454328.0,325360.0,408451.0,788707.0,745976.0,1760864.0,1669284.0,802372.25,819509.75
27,carb_cac_4.2.1.3_BS18707,TCA,TCA,1095,,,,257257.0,189980.0,174800.0,158091.0,180967.0,206348.0,654752.0,463804.0,316944.0,254555.75
28,carb_cac_4.2.1.3_BS18708,TCA,TCA,1095,,,,257257.0,189980.0,174800.0,158091.0,180967.0,206348.0,654752.0,463804.0,316944.0,254555.75
29,carb_cac_1.1.1.42_ISOCITDEH__RXN,TCA,TCA,2182,,,,741993.0,749800.0,942540.0,796801.0,1251676.0,1218048.0,2264320.0,2107265.0,1300132.25,1217978.5
30,carb_cac_1.1.1.42_1.1.1.41_RXN__7969,TCA,TCA,2182,,,,741993.0,749800.0,942540.0,796801.0,1251676.0,1218048.0,2264320.0,2107265.0,1300132.25,1217978.5
31,carb_cac_1.2.7.3_2__OXOGLUTARATE__SYNTHASE__RXN,TCA,TCA,"2815,2816",and,,,1918342.0,608120.0,878584.0,372437.0,1505238.0,1572100.0,4954248.0,5297504.0,2314103.0,1962540.25
32,carb_cac_6.2.1.5_SUCCCOASYN__RXN,TCA,TCA,"2482,2483",and,,,635883.0,177840.0,384492.0,148392.0,1000316.0,625680.0,3578700.0,2046717.0,1399847.75,749657.25
33,carb_cac_1.3.99.1_1.3.5.1_SUCCINATE__DEHYDROGENASE__UBIQUINONE__RXN,TCA,TCA,"2356,2357,2358,2359",and,,,316884.0,102600.0,112320.0,104512.0,595500.0,403456.0,1824512.0,1330959.0,712304.0,485381.75
34,carb_cac_4.2.1.2_FUMHYDR__RXN,TCA,TCA,1077,,,,227731.0,419980.0,197800.0,349292.0,366980.0,496272.0,1345500.0,1984553.0,534502.75,812524.25
35,carb_cac_1.1.1.40_RXN__10813_NAD,TCA,TCA,2585,,,,2271266.0,1821420.0,1676160.0,1006372.0,3461208.0,3052876.0,6002944.0,7132201.0,3352894.5,3253217.25
36,carb_cac_1.1.1.40_RXN__10813_NADP,TCA,TCA,2585,,,,2271266.0,1821420.0,1676160.0,1006372.0,3461208.0,3052876.0,6002944.0,7132201.0,3352894.5,3253217.25
37,oxp_redox_1.6.5.3_RXN0__5330,TCA,,"0322,0323,0324,0325,0326,0327,0328,0329,0665 or 1010,2960,3148",and,,,182998.0,151680.0,127008.0,240536.0,414172.0,299488.0,615568.0,830492.0,334936.5,380549.0
38,oxp_redox_1.10.3.13_soxABCD_TRANS__RXN__240,SoxABCD,,"10828,2656,2657,2658",and,,,164774.0,76140.0,95580.0,80734.0,374726.0,126976.0,777360.0,355101.0,353110.0,159737.75
39,oxp_redox_1.10.3.13_soxM_TRANS__RXN__240,SoxM,,"2968,2969,2970,2971,2972,2973",and,,,472547.0,354780.0,419328.0,268440.0,252274.0,281556.0,2175344.0,2516536.0,829873.25,855328.0
40,oxp_redox_1.10.3.13_doxABCDE_TRANS__RXN__240,DoxABCDE,,"5098,0044,0045,1742,1741",and,,,,,,,88811.0,132352.0,,,88811.0,132352.0
41,oxp_3.6.3.14_ATP__synthase,ATPase,,"0559,0560,0561,0563,0564,0566,0567,6175",and,,,237154.0,125452.0,199752.0,102902.0,611659.0,619920.0,2104380.0,1907950.0,788236.25,689056.0
42,superoxide_1.11.1.15_BS373387,,,0316,,,,2750911.0,8110128.0,1342848.0,2627521.0,600685.0,1214208.0,4560196.0,9115633.0,2313660.0,5266872.5
43,aa_glu_1.4.1.3_GLUTAMATE__DEHYDROGENASE__NADP+__RXN_NADP,,,"1457,1907,1930,2044",or,,,137639.0,73632.0,121720.0,78243.0,214903.0,139520.0,270080.0,209524.0,186085.5,125229.75
44,aa_gly_2.1.2.1_GLYOHMETRANS__RXN,,,0530,,,,660590.0,393300.0,529920.0,335119.0,875541.0,698112.0,2269196.0,1751284.0,1083811.75,794453.75
45,aa_ser_gly_cys_sec_trp_1.1.1.95_PGLYCDEHYDROG__RXN,,,"0905,3187",or,,,268740.0,143472.0,217776.0,166926.0,411679.0,285184.0,1261824.0,922240.0,540004.75,379455.5
46,aa_ser_gly_cys_sec_trp_2.6.1.52_PSERTRANSAM__RXN,,,2597,,,,317734.0,207792.0,205920.0,154896.0,372155.0,255644.0,736596.0,661046.0,408101.25,319844.5
47,aa_ser_gly_cys_sec_trp_3.1.3.3_RXN0__5114,,,0906,,,,428091.0,186576.0,353808.0,209991.0,489026.0,277448.0,1769488.0,1163788.0,760103.25,459450.75
48,redox_1.18.1.3_FERREDOXIN____NAD+__REDUCTASE__RXN,,,2222,,,,1047905.0,646352.0,1173340.0,723972.0,2177366.0,1328940.0,7383420.0,4327281.0,2945507.75,1756636.25
49,carb_degra__formate__purin_1.2.1.2_1.2.1.2__RXN,,,"2824,1029",and ,,,,,,,,,183080.0,123315.0,183080.0,123315.0
50,carb_degra__gly_1.8.1.4_1.4.4.2_2.1.2.10_GCVMULTI__RXN,,,"(1123,1524,1565,2559),0917,0918,0919",and ,,,118334.0,101672.0,84672.0,72928.0,130854.0,174336.0,246796.0,204344.0,145164.0,138320.0
51,spontaneous_H2O__dissociation,,,spontaneous,,,,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
52,spontaneous_RXN__11811,,,spontaneous,,,,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
53,carb_anap_4.1.1.31_PEPCARBOX__RXN,,pathway2,2256,,,,227317.0,196020.0,172800.0,178725.0,336490.0,314736.0,634212.0,640745.0,342704.75,332556.5
54,carb_anap_1.1.1.40_4.1.1.3_OXALODECARB__RXN,,pathway 2,2869,,,,382142.0,164680.0,257140.0,149998.0,879075.0,610048.0,2566400.0,1707636.0,1021189.25,658090.5
55,aa_ser_gly_thr_4.3.1.19_L_SERINE_AMMONIA_LYASE_RXN,,pathway3,0248,,,,169813.0,113160.0,157780.0,151547.0,303849.0,279552.0,526336.0,587217.0,289444.5,282869.0
56,cof_sulfopterin_6.3.4.3_FORMATETHFLIG__RXN,,,,,,,,,,,,,,,,
57,cof_sulfopterin_3.5.4.9_METHENYLTHFCYCLOHYDRO__RXN,,,,,,,,,,,,,,,,
58,cof_sulfopterin_1.5.1.5_METHYLENETHFDEHYDROG__NADP__RXN,,,,,,,,,,,,,,,,
