,reaction_id,Reaction name,pathway,genes,gene_reaction_rule,Unnamed: 5,Unnamed: 6,Array_67 70,Array_67 80,Array_68 70,Array_68 80,Array_86 70,Array_86 80,Array_85 70,Array_85 80,average_list_column_70,average_list_column_80
12,carb_enter_glucneo_2.7.2.3_PHOSGLYPHOS__RXN,PGK,pgk,527,,,,347112,161112,236900,147647,444239,414736,1370040,1248348,599572.75,492960.75
13,carb_enter_glucneo_1.2.1.9_1.2.1.9__RXN,GAPN,Gapn,3194,,,,661454,192780,603720,234751,611077,362452,719216,391405,648866.75,295347
14,other_no__pathway_3.6.1.7_BS165362,Spontaneous,(Spontaneous degradation),spontaneous,,,,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
15,carb_enter_glucneo_5.4.2.1_3PGAREARR__RXN,PGM,pgm,"4,172,236",or,,,42850,70380,62100,81175,97694,144728,95488,105623,74533,100476.5
16,carb_degra_1.2.1.26_R01752,ALDH,,"263,626,372,639",and,,,469950,114080,169740,100136,727662,488852,2023664,1356652,847754,514930
17,carb_entner_2.7.1.165_GKI__RXN,GK,,666,,,,214900,130928,180712,122787,205425,110592,230364,262616,207850.25,156730.75
18,carb_enter_glucneo_4.2.1.11_2PGADEHYDRAT__RXN,ENO,eno,913,,,,251648,284544,239540,208012,343901,384888,808012,823785,410775.25,425307.25
19,carb_enter_2.7.1.40_PEPDEPHOS__RXN,PK,,981,,,,124443,246100,117760,230242,204233,224000,322048,530130,192121,307618
20,other_lactate__biosynthesis_3__dehydroquinate__biosynthesis_RXN__8075,Methylglyoxal pathway,(methylglyoxal pathway)???Refer to uniport(https://www.uniprot.org/uniprot/?query=dehydroquinate+solfataricus&sort=score),305,,,,350178,151040,193280,138352,237680,294840,1789952,1414355,642772.5,499646.75
21,spontaneous_lactate__biosynthesis_3__dehydroquinate__biosynthesis_RXN__10054,Methylglyoxal pathway,,spontaneous,,,,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
22,carb_degra__methylglyoxal_4.4.1.5_GLYOXI__RXN,Methylglyoxal pathway,Refer to uniport,2426,,,,179724,237060,136080,123508,125924,218988,217344,184200,164768,190939
23,carb_degra__methylglyoxal_3.1.2.6_GLYOXII__RXN,Methylglyoxal pathway,Refer to uniport,"2,072,294,028,901,530,000,000,000,000,000,000,000,000",or,,,64853,86632,28440,83531,116833,82784,94720,133943,76211.5,96722.5
24,carb_degra__lactate_1.1.3.15_BS257489,Methylglyoxal pathway,Refer to uniport,"316,531,633,161",and,,,105842,106920,92340,107251,230823,257792,469224,393641,224557.25,216401
25,carb_acetylcoa_1.2.7.1_PYRUFLAVREDUCT__RXN,,TCA,"11071,1206,1207,1208 or 2756,2757,2758,7412",and,,"2128,2129,2130,",204762,178464,83260,72555,174777,94432,328704,366844,197875.75,178073.75
26,carb_cac_2.3.3.1_CITRATE__RE__SYNTHASE__RXN,TCA,TCA,2589,,,,334558,454328,325360,408451,788707,745976,1760864,1669284,802372.25,819509.75
27,carb_cac_4.2.1.3_BS18707,TCA,TCA,1095,,,,257257,189980,174800,158091,180967,206348,654752,463804,316944,254555.75
28,carb_cac_4.2.1.3_BS18708,TCA,TCA,1095,,,,257257,189980,174800,158091,180967,206348,654752,463804,316944,254555.75
29,carb_cac_1.1.1.42_ISOCITDEH__RXN,TCA,TCA,2182,,,,741993,749800,942540,796801,1251676,1218048,2264320,2107265,1300132.25,1217978.5
30,carb_cac_1.1.1.42_1.1.1.41_RXN__7969,TCA,TCA,2182,,,,741993,749800,942540,796801,1251676,1218048,2264320,2107265,1300132.25,1217978.5
31,carb_cac_1.2.7.3_2__OXOGLUTARATE__SYNTHASE__RXN,TCA,TCA,"28,152,816",and,,,1918342,608120,878584,372437,1505238,1572100,4954248,5297504,2314103,1962540.25
32,carb_cac_6.2.1.5_SUCCCOASYN__RXN,TCA,TCA,"24,822,483",and,,,635883,177840,384492,148392,1000316,625680,3578700,2046717,1399847.75,749657.25
33,carb_cac_1.3.99.1_1.3.5.1_SUCCINATE__DEHYDROGENASE__UBIQUINONE__RXN,TCA,TCA,"2,356,235,723,582,350",and,,,316884,102600,112320,104512,595500,403456,1824512,1330959,712304,485381.75
34,carb_cac_4.2.1.2_FUMHYDR__RXN,TCA,TCA,1077,,,,227731,419980,197800,349292,366980,496272,1345500,1984553,534502.75,812524.25
35,carb_cac_1.1.1.40_RXN__10813_NAD,TCA,TCA,2585,,,,2271266,1821420,1676160,1006372,3461208,3052876,6002944,7132201,3352894.5,3253217.25
36,carb_cac_1.1.1.40_RXN__10813_NADP,TCA,TCA,2585,,,,2271266,1821420,1676160,1006372,3461208,3052876,6002944,7132201,3352894.5,3253217.25
37,oxp_redox_1.6.5.3_RXN0__5330,TCA,,"0322,0323,0324,0325,0326,0327,0328,0329,0665 or 1010,2960,3148",and,,,182998,151680,127008,240536,414172,299488,615568,830492,334936.5,380549
38,oxp_redox_1.10.3.13_soxABCD_TRANS__RXN__240,SoxABCD,,"10,828,265,626,572,600",and,,,164774,76140,95580,80734,374726,126976,777360,355101,353110,159737.75
39,oxp_redox_1.10.3.13_soxM_TRANS__RXN__240,SoxM,,"296,829,692,970,297,000,000,000",and,,,472547,354780,419328,268440,252274,281556,2175344,2516536,829873.25,855328
40,oxp_redox_1.10.3.13_doxABCDE_TRANS__RXN__240,DoxABCDE,,"50,980,044,004,517,400,000",and,,,,,,,88811,132352,,,88811,132352
41,oxp_3.6.3.14_ATP__synthase,ATPase,,"5,590,560,056,105,630,000,000,000,000,000",and,,,237154,125452,199752,102902,611659,619920,2104380,1907950,788236.25,689056
42,superoxide_1.11.1.15_BS373387,,,316,,,,2750911,8110128,1342848,2627521,600685,1214208,4560196,9115633,2313660,5266872.5
43,aa_glu_1.4.1.3_GLUTAMATE__DEHYDROGENASE__NADP+__RXN_NADP,,,"1,457,190,719,302,040",or,,,137639,73632,121720,78243,214903,139520,270080,209524,186085.5,125229.75
44,aa_gly_2.1.2.1_GLYOHMETRANS__RXN,,,530,,,,660590,393300,529920,335119,875541,698112,2269196,1751284,1083811.75,794453.75
45,aa_ser_gly_cys_sec_trp_1.1.1.95_PGLYCDEHYDROG__RXN,,,"9,053,187",or,,,268740,143472,217776,166926,411679,285184,1261824,922240,540004.75,379455.5
46,aa_ser_gly_cys_sec_trp_2.6.1.52_PSERTRANSAM__RXN,,,2597,,,,317734,207792,205920,154896,372155,255644,736596,661046,408101.25,319844.5
47,aa_ser_gly_cys_sec_trp_3.1.3.3_RXN0__5114,,,906,,,,428091,186576,353808,209991,489026,277448,1769488,1163788,760103.25,459450.75
48,redox_1.18.1.3_FERREDOXIN____NAD+__REDUCTASE__RXN,,,2222,,,,1047905,646352,1173340,723972,2177366,1328940,7383420,4327281,2945507.75,1756636.25
49,carb_degra__formate__purin_1.2.1.2_1.2.1.2__RXN,,,"28,241,029",and ,,,,,,,,,183080,123315,183080,123315
50,carb_degra__gly_1.8.1.4_1.4.4.2_2.1.2.10_GCVMULTI__RXN,,,"(1123,1524,1565,2559),0917,0918,0919",and ,,,118334,101672,84672,72928,130854,174336,246796,204344,145164,138320
51,spontaneous_H2O__dissociation,,,spontaneous,,,,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
52,spontaneous_RXN__11811,,,spontaneous,,,,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
53,carb_anap_4.1.1.31_PEPCARBOX__RXN,,pathway2,2256,,,,227317,196020,172800,178725,336490,314736,634212,640745,342704.75,332556.5
54,carb_anap_1.1.1.40_4.1.1.3_OXALODECARB__RXN,,pathway 2,2869,,,,382142,164680,257140,149998,879075,610048,2566400,1707636,1021189.25,658090.5
55,aa_ser_gly_thr_4.3.1.19_L_SERINE_AMMONIA_LYASE_RXN,,pathway3,248,,,,169813,113160,157780,151547,303849,279552,526336,587217,289444.5,282869
56,cof_sulfopterin_6.3.4.3_FORMATETHFLIG__RXN,,,,,,,,,,,,,,,,
57,cof_sulfopterin_3.5.4.9_METHENYLTHFCYCLOHYDRO__RXN,,,,,,,,,,,,,,,,
58,cof_sulfopterin_1.5.1.5_METHYLENETHFDEHYDROG__NADP__RXN,,,,,,,,,,,,,,,,
